Level|FileName|FoodName|TransFoodName|Description|Category
1|lvl1good1|Roti Tawar|Roti Tawar|Roti tawar putih adalah sumber tenaga yang baik, Dua lembar roti tawar sama dengan satu cup nasi putih.|food
1|lvl1good2|Roti Gandum|Roti Gandum|Roti gandum tinggi serat, baik untuk pencernaanmu.|food
1|lvl1good3|Roti isi Selai|Roti isi Selai|Satu sendok makan selai pada roti cukup menambah tenaga untuk harimu. |food
1|lvl1good4|Roti Oles Mentega|Roti Oles Mentega|Roti adalah sumber karbohidrat. Mentega pada roti dapat menambah energi sekaligus citarasa pada roti. |food
1|lvl1good5|Nasi putih|Nasi putih|Beras adalah bahan utama nasi putih yang juga sumber karbohidrat. Satu cup nasi putih setara dengan 4 keping biskuit.|food
1|lvl1good6|Nasi merah|Nasi merah|Beras merah adalah sumber karbohidrat sekaligus sumber serat. Serat beras merah lebih tinggi dari beras putih.|food
1|lvl1good7|Bubur sumsum|Bubur sumsum|Bubur sumsum berasal dari tepung beras  merupakan sumber karbohidrat. Bisa jadi sumber tenaga untuk harimu. |food
1|lvl1good8|Bubur beras|Bubur beras|Bubur beras berasal dari beras putih merupakan sumber karbohidrat. Sajikan dengan ayam, kacang, atau telur agar lebih bervariasi. |food
1|lvl1good9|Spaghetti|Spaghetti|Spagetti merupakan golongan pasta, terbuat dari gandum yang tinggi serat dan merupakan sumber karbohidrat. Satu mangkuk kecil spaghetti setara dengan satu mangkuk kecil nasi.|food
1|lvl1good10|Mie telur|Mie telur|Mie telur merupakan sumber karbohidrat, satu mangkuk kecil mie telur setara dengan 3/4 mangkuk kecil nasi.|food
1|lvl1good11|Kwetiau|Kwetiau|Kwetiau merupakan sumber karbohidrat, satu mangkuk kecil kwetiau setara dengan 3/4 mangkuk kecil nasi.|food
1|lvl1good12|Makaroni|Makaroni|Makaroni adalah jenis pasta terbuat dari tepung gandum, dapat menjadi sumber karbohidrat yang baik untuk penurunan berat badan.|food
1|lvl1good13|Sereal oat|Sereal oat|Oatmeal adalah sumber karbohidrat yang tinggi serat, baik untuk kesehatan jantungmu.|food
1|lvl1good14|Biskuit gandum|Biskuit gandum|Biskuit adalah sumber karbohidrat yang baik untuk sumber tenaga. Empat keping biskuit sama dengan dua iris roti tawar.|food
1|lvl1good15|Sereal jagung|Sereal jagung|Sereal jagung merupakan sumber karbohidrat untuk tenagamu. Nilai gizi satu porsi cornflake lebih sedikit dari satu mangkuk kecil nasi.|food
1|lvl1good16|Sereal dengan susu|Sereal dengan susu|Sereal ditambah susu menjadi perpaduan sempurna yang baik untuk tambahan energi dan pertumbuhan tulangmu.|food
1|lvl2good1|Anggur|Anggur|Anggur merupakan sumber vitamin dan mineral. Vitamin C dan A anggur lebih sedikit dari apel dalam jumlah 100gr.|food
1|lvl2good2|Apel|Apel|Apel juga merupakan sumber vitamin. Vitamin A dan C pada apel dengan kulit lebih tinggi daripada apel tanpa kulit.|food
1|lvl2good3|Jeruk|Jeruk|Jeruk tinggi vitamin A dan C, kandungan vitamin A&C 100 gr jus jeruk lebih tinggi dari 100gr buah jeruk utuh.|food
1|lvl2good4|Nanas|Nanas|Nanas juga sumber vitamin C. Namun, kandungan vitamin C jeruk, lebih tinggi dari nanas.|food
1|lvl2good6|Mangga|Mangga|Nanas juga sumber vitamin C. Kandungan vitamin C mangga lebih sedikit dari nanas.|food
1|lvl2good7|Pepaya|Pepaya|Pepaya sumber vitamin A yang baik. Kandungan vitamin A dalam 100gr pepaya, 17x lebih tinggi dari apel dengan kulit.|food
1|lvl2good8|Pisang|Pisang|Pisang kaya mineral seperti kalium, fosfor, magnesium, dan kalsium yang baik untuk menjaga fungsi otot, otak, serta pertumbuhan tulang dan gigimu.|food
1|lvl2good9|Bayam|Bayam|Bayam merupakan sumber zat besi yang baik untuk fungsi otakmu bekerja optimal.|food
1|lvl2good10|Kangkung|Kangkung|Kangkung merupakan sumber mineral seperti kalium, magnesium, dan natrium. Kandungan mineral bayam lebih tinggi dari natrium.|food
1|lvl2good11|Kol|Kol|Kol juga mengandung vitamin dan mineral. Namun, bayam merupakan sumber vitamin dan mineral yang lebih baik dari kol.|food
1|lvl2good12|Brokoli|Brokoli|Brokoli kaya vitamin dan mineral. Serat brokoli lebih tinggi dibanding serat bayam.|food
1|lvl2good13|Wortel|Wortel|Wortel sangat kaya vitamin A. Vitamin A dalam 100gr wortel setara dengan 300x 100gr buah apel.|food
1|lvl2good14|Terong|Terong|Terong mengandung senyawa antosianin (jenis antioksidan) yang baik untuk kesehatan jantungmu.|food
1|lvl2good15|Lobak|Lobak|Lobak kaya akan senyawa flavonoid yang baik untuk menjaga daya tahan tubuhmu.|food
1|lvl2good16|Bawang|Bawang|Bawang merupakan jenis bahan penyedap yang dapat membantu menjaga daya tahan tubuhmu.|food
1|lvl3good1|Keju|Keju|Keju adalah jenis olahan susu yang kaya kalsium dan fosfor yang baik untuk kesehatan tulang dan gigimu.|food
1|lvl3good3|Yogurt|Yogurt|Yogurt adalah jenis olahan susu yang difermentasi, yogurt kaya kalsium dan fosfor yang baik untuk kesehatan tulang dan gigimu.|food
1|lvl3good5|Bakso|Bakso|Bakso yang disajikan bersih adalah sumber protein hewani yang baik untuk membantumu tumbuh besar. Namun, bila dikonsumsi berlebihan dapat menyebabkan kegemukan.|food
1|lvl3good6|Daging domba|Daging domba|Daging domba tinggi protein dan lemak. Dalam jumlah yang sama, kandungan protein dan lemaknya lebih tinggi dari bakso.|food
1|lvl3good7|Daging ayam|Daging ayam|Daging ayam adalah sumber protein hewani yang baik untuk memperbaiki sel-sel yang rusak. Namun, daging ayam dengan kulit tinggi kandungan lemak, bila dikonsumsi berlebihan dapat menyebabkan kegemukan. |food
1|lvl3good8|Ikan segar|Ikan segar|Ikan adalah sumber protein hewani yang rendah lemak dan kaya omega 3 yang baik untuk fungsi otak.|food
1|lvl3good9|Kacang panjang|Kacang panjang|Kacang panjang adalah golongan sayuran. Kandungan serat kacang panjang lebih tinggi dari kol/kubis.|food
1|lvl3good10|kacang polong|kacang polong|Kacang polong adalah sumber protein nabati. Protein nabati merupakan sumber protein rendah lemak.|food
1|lvl3good11|Buncis|Buncis|Buncis adalah golongan sayuran. Kandungan serat pada buncis lebih tinggi dari bayam.|food
1|lvl3good12|Kacang tanah|Kacang tanah|Kacang tanah adalah sumber protein nabati. Namun, kacang tanah yang dipanggang lebih baik daripada kacang goreng.|food
1|lvl3good13|Kembang tahu|Kembang tahu|Kembang tahu merupakan olahan kacang kedelai yang juga sumber protein nabati.|food
1|lvl3good14|Telur orak-arik|Telur orak-arik|Telur merupakan sumber protein hewani dan omega 3 yang baik untuk tubuh dan otakmu. Namun, ikan lebih baik daripada telur.|food
1|lvl3good15|Telur kukus dengan daging|Telur kukus dengan daging|Telur merupakan sumber protein hewani dan omega 3 yang baik untuk tubuh dan otakmu, apalagi ditambah dengan daging. Telur kukus lebih baik daripada telur goreng.|food
1|lvl3good16|Telur rebus|Telur rebus|Telur merupakan sumber protein hewani dan omega 3 yang baik untuk tubuh dan otakmu. Telur rebus lebih baik daripada telur goreng.|food
1|lvl3good17|Telur dadar|Telur dadar|Telur dadar merupakan sumber protein untuk membantumu tumbuh besar.|food
1|lvl4good1|Ikan panggang dan kentang panggang|Ikan panggang dan kentang panggang|Kentang adalah sumber karbohodrat dan ikan adalah sumber protein hewani yang rendah lemak dan kaya omega 3 yang baik untuk fungsi otak. |food
1|lvl4good2|Ayam panggang dan nasi|Ayam panggang dan nasi|Nasi mengandung karbohidrat, sementara daging ayam adalah sumber protein hewani yang baik. Namun lebih baik apabila ditambah sayuran ya. |food
1|lvl4good3|Pasta panggang|Pasta panggang|Pasta terbuat dari tepung gandum, baik untuk penurunan berat badan. Lebih lengkap dan bergizi disajikan dengan protein hewani lain seperti daging sapi atau ayam.|food
1|lvl4good4|Mie ayam|Mie ayam|Mie merupakan sumber karbohidrat, lebih bergizi disajikan dengan ayam dan sayuran. Namun, kebersihan perlu diperhatikan.|food
1|lvl4good5|Nasi tim ayam|Nasi tim ayam|Nasi tim berasal yang beras putih merupakan sumber karbohidrat. Lebih bergizi disajikan dengan ayam sebagai pelengkap untuk memenuhi kebutuhan protein.|food
1|lvl4good6|Nasi rames|Nasi rames|Nasi rames merupakan nasi campur yang disajikan dengan berbagai lauk seperti telur, ayam, tempe dan sayuran. Satu piring nasi rames mampu memenuhi kebutuhan karbohidrat, protein, dan lemak.|food
1|lvl4good7|Ketoprak|Ketoprak|Ketoprak adalah jenis makanan daerah yang berisi ketupat/lontong, tahu, bihun, dan telur yang disiram saus kacang. Satu set lengkap ketoprak mampu memenuhi kebutuhan karbohidrat, protein, dan lemak. Namun, rendah serat.|food
1|lvl4good8|Gado-gado|Gado-gado|Gado-gado adalah jenis makanan daerah yang berisi sayuran matang ditambah kentang rebus, telur rebus, tempe, dan tahu yang disiram saus kacang. Satu set lengkap gado-gado mampu memenuhi kebutuhan karbohidrat, protein, dan lemak. |food
1|lvl4good9|Kue lumpur|Kue lumpur|Kue lumpur yang disajikan bersih, sehat dan mengandung karbohidrat untuk sumber tenaga. |food
1|lvl4good10|Kroket kentang|Kroket kentang|Kroket kentang yang disajikan bersih, sehat dan mengandung karbohidrat untuk sumber tenaga. |food
1|lvl4good11|Nasi goreng|Nasi goreng|Nasi goreng merupakan sumber karbohidrat untuk memenuhi kebutuhan energi. Nasi goreng biasanya disajikan dengan potongan sayuran dan telur yang dapat membantu memenuhi kebutuhan protein, vitamin dan mineral.|food
1|lvl4good12|Soto mie|Soto mie|Mie yang disajikan dengan kentang rebus  kubis ,tauge dan daging sapi ini mengandung karbohidrat dan protein  sebagia sumber zat tenaga dan zat pembangun.|food
1|lvl4good13|Ikan bakar set menu|Ikan bakar set menu|Nasi yang disajikan dengan ikan bakar dapat menjadi variasi menu harianmu yang mengandung karbohidrat dan protein.|food
1|lvl4good14|Nasi pecel|Nasi pecel|Nasi Pecel adalah jenis makanan daerah dimana nasi disajikan dengan sayuran matang yang disiram saus kacang, biasanya ditambah kerupuk atau bawang goreng. Satu set lengkap pecel mampu memenuhi kebutuhan karbohidrat, dan serat, serta vitamin dan mineral. |food
1|lvl4good15|Nasi pepes ikan|Nasi pepes ikan|Nasi yang disajikan dengan pepes ikan dapat menjadi variasi menu harianmu yang mengandung karbohidrat dan protein. Pepes ikan lebih sehat dari ikan bakar.|food
1|lvl4good16|Nasi dengan sup ayam|Nasi dengan sup ayam|Nasi yang disajikan dengan sup ayam yang ditambah sayuran dapat menjadi variasi menu harianmu yang mengandung karbohidrat dan protein, vitamin, dan mineral.|food
1|gooddrinks1|Jus jeruk|Jus jeruk|Jeruk tinggi vitamin A dan C, kandungan vitamin A&C 100 gr jus jeruk lebih tinggi dari 100gr buah jeruk utuh.|drink
1|gooddrinks2|Susu Sapi|Susu Sapi|Susu merupakan sumber protein hewani yang juga kaya kalsium dan fosfor. Susu membantumu tumbuh tinggi.|drink
1|gooddrinks3|Air kelapa muda|Air kelapa muda|Air kelapa kaya mineral yang dapat menjadi zat pengatur untuk tubuhmu.|drink
1|gooddrinks4|Air Putih|Air Putih|Tubuh perlu air putih minimal 8 gelas sehari.|drink
1|gooddrinks5|Sup Buah|Sup Buah|Sup buah terdiri dari berbagai macam buah yang merupaka sumber vitamin dan mineral.|drink
1|gooddrinks6|The hangat|The hangat|The mengandung polifenol yaitu salah satu jenis antioksidan yang lebih efektif 100 kali lipat  dibanding vitamin C.|drink
1|gooddrinks7|Susu kedelai|Susu kedelai|Susu kedelai terbuat dari kacang kedelai yang merupakan sumber protein nabati.|drink
1|gooddrinks8|Jus jambu|Jus jambu|Buah jambu biji merah kaya vitamin C dan beta karoten yang baik untuk daya tahan tubuhmu.|drink
1|gooddrinks9|Air tebu|Air tebu|Tebu mengandung senyawa octacosanol yang mampu menurunkan kadar kolesterol dalam darah|drink
1|gooddrinks10|Sari kacang hijau|Sari kacang hijau|Kacang hijau kaya asam amino dan mengandung kalsium sebesar 125 mg/100 g yang dapat membantumu tumbuh tinggi dan besar.|drink
